HEXUKI EXHAUSTIVE OPENING ANALYSIS
Timestamp,2025-10-22T09:55:05.120Z
Total Openings Tested,5
Games Per Opening,50
Total Games,250
MCTS Simulations,15000
P2 Move 2 Simulations,30000
Minimax Threshold,9 empty hexes
Strong Openings Only,true
Double MCTS for P2 Move 2,true
P2 Learning Mode,true

P2 RESPONSE BLACKLIST (Responses that lost and were avoided)
P1 Opening,Blacklisted P2 Responses,Count
h6t5,"h1t1, h1t2, h4t9, h1t3, h4t6, h4t8, h11t2, h8t3, h1t4, h8t7, h8t8, h7t3, h1t9, h7t7, h7t4, h4t7, h14t3, h11t6, h1t6, h4t3, h7t2, h8t9, h8t1, h14t2, h4t1, h8t6, h14t4, h11t5, h11t3, h14t1, h11t7, h11t1",32
h6t6,"h1t1, h1t2, h1t4, h1t3, h8t9, h4t9, h7t7, h4t3, h11t3, h11t7, h4t8, h4t7, h7t4, h8t7, h8t8, h14t2, h14t3, h4t4, h4t2, h4t5, h14t8, h8t6, h4t6, h8t1, h7t5, h1t7, h11t1, h14t6",28
h12t5,"h17t1, h17t2, h11t4, h17t3, h14t8, h14t9, h14t5, h7t3, h10t7, h4t5, h4t8, h11t8, h10t8, h10t6, h11t2, h10t2, h4t3, h7t2, h10t4, h17t4, h4t6, h7t5, h11t9, h4t2, h11t3, h11t7, h14t1, h4t9, h10t1",29
h12t6,"h17t1, h17t2, h17t3, h14t9, h10t6, h10t9, h10t7, h10t5, h14t8, h7t6, h11t2, h14t7, h4t9, h11t9, h4t5, h14t5, h17t4, h10t8, h10t1, h11t4, h4t7, h7t7, h17t9, h17t7, h11t7, h11t8, h17t5",27
h12t7,"h17t1, h17t2, h14t9, h17t3, h14t7, h10t9, h11t4, h14t8, h17t4, h4t1, h10t6, h14t1, h7t2, h10t5, h14t6, h17t9, h11t8, h17t8, h4t4, h14t5, h10t7",21

OPENING RANKINGS (Sorted by P1 Win Rate)
Rank,Opening,Hex,Tile,Games,P1 Wins,P2 Wins,Draws,P1 Win %,Avg Score Diff,Avg P1 Score,Avg P2 Score,Best P2 Response,P2 Response Count,P2 Response Win %,Best P1 Move 3,Move 3 Win %,Move 3 Count
1,h6t5,6,5,50,32,18,0,64.0%,220.9,1590.9,1370.0,h8t9,10,90.0%,h2t1,100.0%,5
2,h12t5,12,5,50,29,21,0,58.0%,87.2,1520.9,1433.7,h10t9,6,100.0%,h13t1,100.0%,3
3,h6t6,6,6,50,28,22,0,56.0%,139.7,1544.4,1404.7,h8t8,8,87.5%,h3t9,81.8%,11
4,h12t6,12,6,50,27,23,0,54.0%,153.3,1537.3,1383.9,h10t8,11,90.9%,h13t1,100.0%,3
5,h12t7,12,7,50,21,29,0,42.0%,-6.5,1355.1,1361.6,h10t8,11,100.0%,h16t1,85.7%,7

DETAILED OPENING BREAKDOWN

=== h6t5 ===
Games: 50 | P1 Win Rate: 64.0% | Avg Score Diff: 220.9

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h8t9,10,1,9,90.0%
h11t5,3,1,2,66.7%
h1t2,2,1,1,50.0%
h1t3,2,1,1,50.0%
h8t8,2,1,1,50.0%
h14t8,2,0,2,100.0%
h1t1,1,1,0,0.0%
h4t9,1,1,0,0.0%
h4t6,1,1,0,0.0%
h4t8,1,1,0,0.0%
h11t2,1,1,0,0.0%
h8t3,1,1,0,0.0%
h1t4,1,1,0,0.0%
h8t7,1,1,0,0.0%
h7t3,1,1,0,0.0%
h1t9,1,1,0,0.0%
h7t7,1,1,0,0.0%
h7t4,1,1,0,0.0%
h4t7,1,1,0,0.0%
h14t3,1,1,0,0.0%
h11t6,1,1,0,0.0%
h4t4,1,0,1,100.0%
h1t6,1,1,0,0.0%
h4t3,1,1,0,0.0%
h7t2,1,1,0,0.0%
h14t5,1,0,1,100.0%
h8t1,1,1,0,0.0%
h14t2,1,1,0,0.0%
h4t1,1,1,0,0.0%
h8t6,1,1,0,0.0%
h14t4,1,1,0,0.0%
h11t3,1,1,0,0.0%
h14t1,1,1,0,0.0%
h11t7,1,1,0,0.0%
h11t1,1,1,0,0.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h4t1,10,1,9,10.0%
h13t1,10,7,3,70.0%
h3t9,9,8,1,88.9%
h16t1,6,3,3,50.0%
h2t1,5,5,0,100.0%
h3t8,2,1,1,50.0%
h1t8,2,2,0,100.0%
h1t9,2,1,1,50.0%
h3t7,1,1,0,100.0%
h5t1,1,1,0,100.0%
h7t1,1,1,0,100.0%
h11t1,1,1,0,100.0%

=== h12t5 ===
Games: 50 | P1 Win Rate: 58.0% | Avg Score Diff: 87.2

P2 Responses:
Move,Count,P1 Wins,P2 Wins,P2 Win %
h10t9,6,0,6,100.0%
h17t4,5,1,4,80.0%
h10t8,4,1,3,75.0%
h17t2,2,1,1,50.0%
h10t6,2,1,1,50.0%
h4t2,2,1,1,50.0%
h14t1,2,1,1,50.0%
h17t1,1,1,0,0.0%
h11t4,1,1,0,0.0%
h17t3,1,1,0,0.0%
h14t8,1,1,0,0.0%
h14t9,1,1,0,0.0%
h14t5,1,1,0,0.0%
h7t3,1,1,0,0.0%
h10t7,1,1,0,0.0%
h4t5,1,1,0,0.0%
h4t8,1,1,0,0.0%
h11t8,1,1,0,0.0%
h11t2,1,1,0,0.0%
h10t2,1,1,0,0.0%
h4t3,1,1,0,0.0%
h7t2,1,1,0,0.0%
h10t4,1,1,0,0.0%
h10t5,1,0,1,100.0%
h4t6,1,1,0,0.0%
h7t5,1,1,0,0.0%
h11t9,1,1,0,0.0%
h11t3,1,1,0,0.0%
h11t7,1,1,0,0.0%
h4t9,1,1,0,0.0%
h10t1,1,1,0,0.0%
h14t3,1,0,1,100.0%
h7t4,1,0,1,100.0%
h14t6,1,0,1,100.0%

P1 Move 3 Choices:
Move,Count,P1 Wins,P2 Wins,P1 Win %
h15t9,13,8,5,61.5%
h16t1,7,6,1,85.7%
