HEXUKI Simulation Results
Timestamp,2025-10-21T15:28:53.724Z
Games Played,250
Elapsed Time,31344.4s
MCTS Simulations,15000
Minimax Endgame,true

OVERALL STATISTICS
Player,Wins,Win %,Avg Score,Draws
Player 1,99,39.6%,1311.5,0
Player 2,151,60.4%,1332.5,0

OPENING ANALYSIS (First 4 Moves)
Opening Sequence,Games,P1 Wins,P2 Wins,Draws,P1 Win %,Avg Score Diff
"h11t7-h16t9-h13t1-h12t8",9,0,9,0,0.0%,-46.0
"h6t3-h1t1-h7t1-h11t2",7,0,7,0,0.0%,-37.1
"h11t4-h16t9-h14t1-h12t1",7,0,7,0,0.0%,-233.0
"h6t4-h1t1-h3t9-h7t9",6,6,0,0,100.0%,256.7
"h12t5-h17t1-h15t9-h14t9",6,6,0,0,100.0%,354.0
"h12t2-h17t1-h11t1-h7t2",6,0,6,0,0.0%,-377.3
"h14t6-h17t1-h15t9-h16t9",6,1,5,0,16.7%,-81.0
"h11t6-h16t9-h13t1-h12t8",5,0,5,0,0.0%,-75.0
"h14t9-h17t1-h16t2-h15t2",5,0,5,0,0.0%,-202.0
"h12t4-h17t1-h15t9-h11t9",5,5,0,0,100.0%,259.6
"h6t2-h1t1-h7t1-h11t2",5,0,5,0,0.0%,-392.2
"h11t8-h16t9-h13t1-h12t8",4,4,0,0,100.0%,37.0
"h12t3-h17t1-h11t1-h7t2",4,0,4,0,0.0%,-26.5
"h12t6-h17t1-h15t9-h14t9",4,4,0,0,100.0%,260.8
"h4t2-h6t1-h12t1-h8t2",4,0,4,0,0.0%,-181.5
"h14t2-h12t1-h6t1-h10t2",4,0,4,0,0.0%,-224.0
"h6t6-h1t1-h3t9-h4t9",4,4,0,0,100.0%,368.5
"h12t7-h17t1-h15t9-h14t9",3,3,0,0,100.0%,447.3
"h12t6-h17t1-h15t9-h14t8",3,3,0,0,100.0%,174.0
"h7t2-h2t9-h4t1-h6t1",3,0,3,0,0.0%,-243.7
"h6t4-h1t1-h3t9-h4t9",3,2,1,0,66.7%,383.0
"h14t1-h12t1-h10t9-h4t2",3,0,3,0,0.0%,-74.0
"h6t9-h1t1-h4t1-h3t2",3,0,3,0,0.0%,-170.0
